siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
NH02,Annual,1997,80,100,79,0.493,0.118,0.139,0.633,2.134,15.828,5.234,1.319,16.643,-9.000,0.433,55725.1,107.235,41,364,"1996-12-30 00:00","1997-12-29 00:00"
NH02,Annual,1998,94,100,100,0.745,0.149,0.199,0.460,2.136,15.772,5.223,1.155,17.002,-9.000,0.441,79873.4,124.192,46,365,"1997-12-29 00:00","1998-12-29 00:00"
NH02,Annual,1999,88,100,92,0.711,0.205,0.241,1.253,1.698,12.949,4.245,2.397,14.323,-9.000,0.350,71808.7,120.459,43,364,"1998-12-29 00:00","1999-12-28 00:00"
NH02,Annual,2000,96,100,94,0.716,0.123,0.210,0.567,2.196,14.928,5.078,1.209,16.038,-9.000,0.392,74461.0,123.368,50,371,"1999-12-28 00:00","2001-01-02 00:00"
NH02,Annual,2001,98,100,99,0.506,0.090,0.099,0.470,1.338,11.351,3.603,0.976,10.239,-9.000,0.272,55641.7,90.373,46,364,"2001-01-02 00:00","2002-01-01 00:00"
NH02,Annual,2002,94,100,98,0.651,0.116,0.128,0.569,2.208,12.851,4.618,1.162,13.350,-9.000,0.296,73320.7,116.192,47,363,"2002-01-01 00:00","2002-12-30 00:00"
NH02,Annual,2003,94,100,100,0.670,0.195,0.167,1.381,1.744,12.167,4.104,2.651,14.679,-9.000,0.349,89008.7,139.535,48,365,"2002-12-30 00:00","2003-12-30 00:00"
NH02,Annual,2004,96,100,99,0.613,0.120,0.132,0.758,1.840,12.547,4.264,1.492,13.918,-9.000,0.361,76391.9,120.294,42,364,"2003-12-30 00:00","2004-12-28 00:00"
NH02,Annual,2005,96,100,100,0.596,0.157,0.188,1.145,2.226,11.195,4.259,2.101,15.319,-9.000,0.342,99859.7,156.794,48,371,"2004-12-28 00:00","2006-01-03 00:00"
NH02,Annual,2006,94,100,98,0.636,0.166,0.235,1.010,1.632,9.612,3.439,1.936,11.590,-9.000,0.280,87752.0,138.303,46,364,"2006-01-03 00:00","2007-01-02 00:00"
NH02,Annual,2007,96,100,97,0.686,0.140,0.178,0.674,2.923,10.675,4.683,1.373,15.873,-9.000,0.308,78401.2,127.089,47,364,"2007-01-02 00:00","2008-01-01 00:00"
NH02,Annual,2008,88,100,93,0.702,0.156,0.172,0.936,1.904,11.515,4.080,1.763,12.545,-9.000,0.311,95777.3,156.033,41,364,"2008-01-01 00:00","2008-12-30 00:00"
NH02,Annual,2009,94,100,100,0.551,0.110,0.138,0.688,1.597,8.537,3.170,1.239,8.427,-9.000,0.203,90798.5,137.696,46,364,"2008-12-30 00:00","2009-12-29 00:00"
NH02,Annual,2010,96,100,97,0.689,0.182,0.182,1.066,1.625,6.942,2.831,2.002,7.436,-9.000,0.163,83137.8,130.000,44,364,"2009-12-29 00:00","2010-12-28 00:00"
NH02,Annual,2011,88,100,94,0.575,0.166,0.212,0.908,2.012,8.881,3.570,1.649,7.504,-9.000,0.179,93178.5,151.298,45,371,"2010-12-28 00:00","2012-01-03 00:00"
NH02,Annual,2012,79,100,80,0.730,0.143,0.209,0.548,2.452,9.363,4.020,0.952,7.394,-9.000,0.160,68051.2,130.404,38,364,"2012-01-03 00:00","2013-01-01 00:00"
NH02,Annual,2013,96,100,97,0.501,0.119,0.191,0.584,2.063,8.324,3.484,1.049,6.178,0.036,0.133,74854.9,119.261,45,364,"2013-01-01 00:00","2013-12-31 00:00"
NH02,Annual,2014,92,100,94,0.470,0.107,0.134,0.632,1.492,6.342,2.592,1.129,4.461,0.027,0.121,79926.6,134.374,46,364,"2013-12-31 00:00","2014-12-30 00:00"
NH02,Annual,2015,76,100,62,0.514,0.135,0.122,0.722,1.652,7.842,3.055,1.321,3.841,0.037,0.116,48386.1,122.340,37,365,"2014-12-30 00:00","2015-12-30 00:00"
NH02,Annual,2016,92,100,95,0.557,0.142,0.131,0.753,1.800,5.925,2.737,1.364,3.372,0.022,0.071,69271.3,109.118,45,365,"2015-12-30 00:00","2016-12-29 00:00"
NH02,Annual,2017,86,98,97,0.732,0.161,0.186,0.782,2.220,8.609,3.670,1.427,3.721,0.025,0.111,75628.4,124.048,39,369,"2016-12-29 00:00","2018-01-02 00:00"
